Element,K,MP,BP,Z,X,r
Ac,29.0,1323.0,3573.0,89,1.1,1.95
Ag,88.0,1234.93,2435.0,47,1.93,1.6
Al,83.0,933.47,2792.0,13,1.61,1.25
As,40.0,1090.0,887.0,33,2.18,1.15
Au,137.0,1337.33,3129.0,79,2.54,1.35
B,211.0,2349.0,4200.0,5,2.04,0.85
Ba,9.0,1000.0,2143.0,56,0.89,2.15
Be,122.0,1560.0,2742.0,4,1.57,1.05
Bi,29.0,544.4,1837.0,83,2.02,1.6
Br,4.0,265.8,332.0,35,2.96,1.15
C,118.0,3800.0,4300.0,6,2.55,0.7
Ca,17.0,1115.0,1757.0,20,1.0,1.8
Cd,42.0,594.22,1040.0,48,1.69,1.55
Ce,37.0,1068.0,3633.0,58,1.12,1.85
Cl,2.0,171.6,239.11,17,3.16,1.0
Co,212.0,1768.0,3200.0,27,1.88,1.35
Cr,259.0,2180.0,2944.0,24,1.66,1.4
Cs,2.0,301.59,944.0,55,0.79,2.6
Cu,145.0,1357.77,3200.0,29,1.9,1.35
Dy,41.0,1680.0,2840.0,66,1.22,1.75
Er,44.0,1802.0,3141.0,68,1.24,1.75
Eu,13.0,1099.0,1800.0,63,1.2,1.85
F,2.0,53.53,85.03,9,3.98,0.5
Fe,182.0,1811.0,3134.0,26,1.83,1.4
Ga,50.0,302.91,2477.0,31,1.81,1.3
Gd,37.0,1585.0,3523.0,64,1.2,1.8
Ge,59.0,1211.4,3093.0,32,2.01,1.25
H,1.0,14.01,20.28,1,2.2,0.25
Hf,108.0,2506.0,4876.0,72,1.3,1.55
Hg,8.0,234.32,629.88,80,2.0,1.5
Ho,43.0,1734.0,2993.0,67,1.23,1.75
I,5.0,386.85,457.4,53,2.66,1.4
In,33.0,429.75,2345.0,49,1.78,1.55
Ir,346.0,2739.0,4701.0,77,2.2,1.35
K,4.0,336.53,1032.0,19,0.82,2.2
La,25.0,1193.0,3743.0,57,1.1,1.95
Li,14.0,453.69,1615.0,3,0.98,1.45
Lu,48.0,1925.0,3675.0,71,1.27,1.75
Mg,37.0,923.0,1363.0,12,1.31,1.5
Mn,264.0,1519.0,2334.0,25,1.55,1.4
Mo,262.0,2896.0,4912.0,42,2.16,1.45
N,1.0,63.05,77.36,7,3.04,0.65
Na,9.0,370.87,1156.0,11,0.93,1.8
Nb,174.0,2750.0,5017.0,41,1.6,1.45
Nd,34.0,1297.0,3373.0,60,1.14,1.85
Ni,198.0,1728.0,3186.0,28,1.91,1.35
Np,171.0,910.0,4273.0,93,1.36,1.75
O,6.0,54.8,90.2,8,3.44,0.6
Os,401.0,3306.0,5285.0,76,2.2,1.3
P,21.0,317.3,550.0,15,2.19,1.0
Pb,37.0,600.61,2022.0,82,2.33,1.8
Pd,160.0,1828.05,3236.0,46,2.2,1.4
Pm,39.0,1373.0,3273.0,61,1.13,1.85
Pr,32.0,1208.0,3563.0,59,1.13,1.85
Pt,247.0,2041.4,4098.0,78,2.28,1.35
Pu,203.0,912.5,3503.0,94,1.28,1.75
Rb,3.0,312.46,961.0,37,0.82,2.35
Re,365.0,3459.0,5869.0,75,1.9,1.35
Rh,253.0,2237.0,3968.0,45,2.28,1.35
Ru,308.0,2607.0,4423.0,44,2.2,1.3
S,1.0,388.36,717.87,16,2.58,1.0
Sb,36.0,903.78,1860.0,51,2.05,1.45
Sc,52.0,1814.0,3103.0,21,1.36,1.6
Se,9.0,494.0,958.0,34,2.55,1.15
Si,83.0,1687.0,3173.0,14,1.9,1.1
Sm,37.0,1345.0,2076.0,62,1.17,1.85
Sn,38.0,505.08,2875.0,50,1.96,1.45
Sr,12.0,1050.0,1655.0,38,0.95,2.0
Ta,194.0,3290.0,5731.0,73,1.5,1.45
Tb,40.0,1629.0,3503.0,65,1.1,1.75
Tc,300.0,2430.0,4538.0,43,1.9,1.35
Te,22.0,722.66,1261.0,52,2.1,1.4
Th,56.0,2115.0,5093.0,90,1.3,1.8
Ti,113.0,1941.0,3560.0,22,1.54,1.4
Tl,27.0,577.0,1746.0,81,1.62,1.9
Tm,46.0,1818.0,2223.0,69,1.25,1.75
U,147.0,1405.3,4200.0,92,1.38,1.75
V,179.0,2183.0,3680.0,23,1.63,1.35
W,304.0,3695.0,5828.0,74,2.36,1.35
Y,41.0,1799.0,3609.0,39,1.22,1.8
Yb,15.0,1097.0,1469.0,70,1.1,1.75
Zn,67.0,692.68,1180.0,30,1.65,1.35
Zr,94.0,2128.0,4682.0,40,1.33,1.55
